grid_lat,grid_lon,n_species_baseline,n_species_recent,richness_change,richness_ratio,climate_departure
38.25,-1.0,1.0,1.0,0.0,1.0,0.07666666666666666
38.25,-0.5,0.0,1.0,1.0,,0.05333333333333334
38.5,-28.75,0.0,3.0,3.0,,0.05
38.5,-28.5,0.0,2.0,2.0,,0.05
38.5,-28.25,0.0,3.0,3.0,,0.05
38.5,-28.0,0.0,2.0,2.0,,0.05
38.5,-27.75,0.0,1.0,1.0,,0.05
38.5,-9.25,2.0,5.0,3.0,2.5,0.023333333333333334
38.5,-9.0,1.0,5.0,4.0,5.0,0.02
38.5,-8.75,0.0,1.0,1.0,,0.02
38.5,-8.25,0.0,1.0,1.0,,0.013333333333333334
38.5,-8.0,0.0,1.0,1.0,,0.01
38.5,-7.5,1.0,0.0,-1.0,0.0,0.013333333333333334
38.5,-7.0,0.0,1.0,1.0,,0.03
38.5,-6.75,0.0,1.0,1.0,,0.03
38.5,-6.5,0.0,1.0,1.0,,0.03333333333333333
38.5,-5.0,0.0,1.0,1.0,,0.07666666666666666
38.5,-4.5,0.0,2.0,2.0,,0.09
38.5,-4.25,0.0,3.0,3.0,,0.09666666666666666
38.5,-4.0,0.0,1.0,1.0,,0.1
38.5,-3.75,2.0,0.0,-2.0,0.0,0.11
38.5,-3.5,0.0,1.0,1.0,,0.13
38.5,-3.25,0.0,1.0,1.0,,0.13
38.5,-2.5,0.0,4.0,4.0,,0.14333333333333334
38.5,-2.25,3.0,3.0,0.0,1.0,0.13666666666666666
38.5,-1.0,1.0,1.0,0.0,1.0,0.09666666666666666
38.5,-0.75,1.0,2.0,1.0,2.0,0.1
38.5,-0.5,2.0,2.0,0.0,1.0,0.09
38.5,-0.25,0.0,2.0,2.0,,0.08666666666666667
38.5,-0.0,1.0,2.0,1.0,2.0,0.07
38.75,-28.75,0.0,1.0,1.0,,0.04666666666666667
38.75,-28.25,1.0,2.0,1.0,2.0,0.04666666666666667
38.75,-28.0,0.0,1.0,1.0,,0.04666666666666667
38.75,-27.25,1.0,2.0,1.0,2.0,0.04666666666666667
38.75,-27.0,0.0,2.0,2.0,,0.04666666666666667
38.75,-9.5,4.0,6.0,2.0,1.5,0.023333333333333334
38.75,-9.25,4.0,7.0,3.0,1.75,0.013333333333333334
38.75,-9.0,1.0,4.0,3.0,4.0,0.013333333333333334
38.75,-8.5,0.0,1.0,1.0,,0.01
38.75,-8.25,1.0,1.0,0.0,1.0,0.01
38.75,-8.0,0.0,1.0,1.0,,0.01
38.75,-7.0,0.0,1.0,1.0,,0.023333333333333334
38.75,-6.75,0.0,0.0,0.0,,0.023333333333333334
38.75,-4.5,0.0,1.0,1.0,,0.08333333333333333
38.75,-4.25,1.0,2.0,1.0,2.0,0.09
38.75,-4.0,0.0,2.0,2.0,,0.09
38.75,-3.5,1.0,0.0,-1.0,0.0,0.12
38.75,-2.5,0.0,1.0,1.0,,0.13
38.75,-2.25,0.0,2.0,2.0,,0.12333333333333334
38.75,-1.5,0.0,1.0,1.0,,0.09333333333333334
38.75,-1.25,0.0,1.0,1.0,,0.09666666666666666
38.75,-1.0,0.0,1.0,1.0,,0.10666666666666667
38.75,-0.75,0.0,3.0,3.0,,0.12333333333333334
38.75,-0.5,0.0,2.0,2.0,,0.13666666666666666
38.75,-0.25,1.0,2.0,1.0,2.0,0.10666666666666667
38.75,-0.0,1.0,1.0,0.0,1.0,0.08666666666666667
38.75,0.25,0.0,2.0,2.0,,0.05
39.0,-28.0,0.0,2.0,2.0,,0.05
39.0,-9.5,0.0,4.0,4.0,,0.03333333333333333
39.0,-9.25,1.0,5.0,4.0,5.0,0.02
39.0,-9.0,0.0,1.0,1.0,,0.013333333333333334
39.0,-8.75,0.0,1.0,1.0,,0.013333333333333334
39.0,-8.25,0.0,1.0,1.0,,0.01
39.0,-8.0,0.0,1.0,1.0,,0.01
39.0,-7.75,0.0,1.0,1.0,,0.01
39.0,-7.5,1.0,0.0,-1.0,0.0,0.01
39.0,-7.0,0.0,1.0,1.0,,0.016666666666666666
39.0,-6.25,0.0,2.0,2.0,,0.03666666666666667
39.0,-5.5,0.0,1.0,1.0,,0.04666666666666667
