species,cell_id,n_obs_baseline,present_baseline,n_obs_recent,present_recent,outcome,extinction,colonization,persistence,temp_baseline,temp_recent,temp_delta,temp_baseline_max,cpi_baseline,cpi_recent,cpi_delta
Bombus lapidarius,-7_48,0.0,0,17.0,1,2,0,1,0,11.226073265075684,12.480757713317871,1.2546844482421875,21.809722900390625,0.4372601084252596,0.5378125679262882,0.10055245950102859
Bombus lapidarius,-7_49,8.0,1,25.0,1,1,0,0,1,8.275877952575684,9.84202766418457,1.5661497116088867,18.562164306640625,0.20082664095390748,0.3263404350156175,0.12551379406171
Bombus lapidarius,-7_50,1.0,1,2.0,1,1,0,0,1,9.970714569091797,11.193792343139648,1.2230777740478516,17.859527587890625,0.3366536136097455,0.4346730626543675,0.09801944904462201
Bombus lapidarius,-8_47,4.0,1,53.0,1,1,0,0,1,12.310458183288574,13.559911727905273,1.2494535446166992,23.076568603515625,0.5241644856373064,0.6242977319842287,0.10013324634692222
Bombus lapidarius,-8_48,1.0,1,14.0,1,1,0,0,1,11.736089706420898,12.792183876037598,1.0560941696166992,21.223052978515625,0.4781336584521779,0.5627707688973036,0.08463711044512567
Bombus lapidarius,-8_49,0.0,0,7.0,1,2,0,1,0,10.892032623291016,12.23859691619873,1.3465642929077148,19.325836181640625,0.410489546192016,0.5184054064051795,0.10791586021316352
Bombus lapidarius,-9_49,1.0,1,3.0,1,1,0,0,1,13.537678718566895,14.322678565979004,0.7849998474121094,19.696929931640625,0.6225159423284986,0.6854271113286451,0.06291116900014648
Bombus lapidarius,0_45,0.0,0,2.0,1,2,0,1,0,17.046655654907227,18.30089569091797,1.2542400360107422,26.330474853515625,0.9037310811434637,1.004247924722922,0.10051684357945823
Bombus lapidarius,0_48,0.0,0,1.0,1,2,0,1,0,14.097161293029785,15.90290641784668,1.8057451248168945,26.107818603515625,0.667353788999052,0.8120691505281704,0.14471536152911846
Bombus lapidarius,0_49,26.0,1,24.0,1,1,0,0,1,5.769981384277344,7.590302467346191,1.8203210830688477,17.961334228515625,0.0,0.1458835026134138,0.1458835026134138
Bombus lapidarius,1_46,2.0,1,0.0,0,-1,1,0,0,18.24789047241211,19.54367446899414,1.2957839965820312,27.297515869140625,1.0,1.1038462443851422,0.10384624438514223
Bombus lapidarius,1_48,2.0,1,1.0,1,1,0,0,1,13.27826976776123,14.799768447875977,1.521498680114746,24.088287353515625,0.6017264856195749,0.7236618731406731,0.12193538752109823
Bombus lapidarius,1_49,14.0,1,41.0,1,1,0,0,1,7.52157735824585,9.265178680419922,1.7436013221740723,19.783599853515625,0.1403757602012101,0.2801108159592346,0.1397350557580245
Bombus lapidarius,2_48,3.0,1,1.0,1,1,0,0,1,14.54291820526123,15.853426933288574,1.3105087280273438,24.230865478515625,0.7030774754823359,0.8081037838783078,0.10502630839597193
Bombus lapidarius,2_49,5.0,1,53.0,1,1,0,0,1,10.52103328704834,11.872958183288574,1.3519248962402344,21.988677978515625,0.38075705386319636,0.48910252157667555,0.1083454677134792
Bombus lucorum,-1_45,1.0,1,0.0,0,-1,1,0,0,14.597636222839355,16.228759765625,1.6311235427856445,25.990631103515625,0.803980073834583,0.9525349109169705,0.14855483708238748
